City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Karaton,ID,87.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
17,Cabo San Lucas,MX,85.17,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Victoria,HK,89.65,scattered clouds,22.2855,114.1577,Mini Hotel Central
34,Kavieng,PG,84.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
40,Ishigaki,JP,84.36,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
49,Aswan,EG,80.26,clear sky,24.0934,32.907,Nuba Nile
50,Bubaque,GW,80.67,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
51,Miramar,US,81.05,overcast clouds,25.9873,-80.2323,Miramar
59,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
75,Dingle,PH,86.9,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Buala,SB,84.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
77,Tura,IN,83.26,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
79,Katobu,ID,85.96,overcast clouds,-4.9408,122.5276,La Ode Husein
92,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
93,Ahuimanu,US,83.91,moderate rain,21.4447,-157.8378,Paradise Bay Resort
104,Tabuk,PH,86.32,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
118,Pacifica,US,81.68,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
122,Huilong,CN,84.97,light rain,31.8111,121.655,Hilton Garden Inn Qidong
124,Redcliffe,AU,86.47,clear sky,-27.2307,153.0973,Redvue Apartments
141,Itoman,JP,87.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
143,Charters Towers,AU,81.55,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
150,Nago,JP,87.87,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
155,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
157,Kailua,US,84.18,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
158,Kununurra,AU,89.58,few clouds,-15.7667,128.7333,Hotel Kununurra
162,Sydney,AU,82.35,clear sky,-33.8679,151.2073,The Grace Sydney
191,Manokwari,ID,83.26,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
198,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
200,Saint-Georges,GD,81.97,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
201,Sabang,ID,82.13,few clouds,5.8933,95.3214,Hotel Citra
203,Kendari,ID,84.11,overcast clouds,-3.945,122.4989,Hotel Wixel
207,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
208,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
215,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
220,Acajutla,SV,80.08,overcast clouds,13.5928,-89.8275,asi es
224,Bengkulu,ID,84.07,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
231,Baturaja,ID,85.37,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
236,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
243,El Tigre,VE,80.19,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
260,Labuhan,ID,84.49,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
265,Trinidad,BO,87.03,overcast clouds,-14.8333,-64.9,Hotel Piesta
