City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,2.3,light rain
1,Yellowknife,CA,62.456,-114.3525,43.03,76,90,3.33,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,68.92,87,63,7.72,broken clouds
3,Avarua,CK,-21.2078,-159.775,75.25,57,40,5.75,scattered clouds
4,Port Alfred,ZA,-33.5906,26.891,60.22,84,100,12.41,overcast clouds
5,Karaton,ID,-6.3424,106.1045,87.96,60,98,6.73,overcast clouds
6,Torbay,CA,47.6666,-52.7314,54.88,91,90,12.66,overcast clouds
7,Nakhodka,RU,42.8333,132.8947,59.99,88,99,1.16,overcast clouds
8,Chuy,UY,-33.6971,-53.4616,54.86,95,69,5.68,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,74.03,78,100,23.31,overcast clouds
10,Minot,US,48.2325,-101.2963,65.39,31,75,4.0,broken clouds
11,Ushuaia,AR,-54.8,-68.3,44.26,65,75,14.97,light intensity drizzle
12,Pisco,PE,-13.7,-76.2167,61.02,88,40,8.57,scattered clouds
13,Grand Gaube,MU,-20.0064,57.6608,72.37,76,19,11.01,light rain
14,Esperance,AU,-33.8667,121.9,56.93,58,63,10.85,broken clouds
15,Mora,CM,11.0461,14.1401,74.28,74,100,2.66,overcast clouds
16,Faanui,PF,-16.4833,-151.75,77.11,73,10,12.91,clear sky
17,Cabo San Lucas,MX,22.8909,-109.9124,85.17,82,1,5.99,clear sky
18,Dikson,RU,73.5069,80.5464,34.23,74,24,9.04,few clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,33.71,79,99,9.48,overcast clouds
20,Atuona,PF,-9.8,-139.0333,78.24,72,23,17.0,few clouds
21,Bluff,NZ,-46.6,168.3333,50.81,71,97,22.53,overcast clouds
22,Constitucion,CL,-35.3333,-72.4167,54.54,72,0,6.49,clear sky
23,Barrow,US,71.2906,-156.7887,32.02,74,90,6.91,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,69.35,81,37,10.56,scattered clouds
25,Vizinga,RU,61.0749,50.1031,44.51,82,95,6.85,overcast clouds
26,Victoria,HK,22.2855,114.1577,89.65,82,34,1.01,scattered clouds
27,Upernavik,GL,72.7868,-56.1549,28.04,92,100,12.53,light snow
28,Albany,US,42.6001,-73.9662,73.98,92,100,1.01,overcast clouds
29,Aykhal,RU,66.0,111.5,38.39,85,100,6.78,overcast clouds
30,Vardo,NO,70.3705,31.1107,44.8,75,100,22.97,overcast clouds
31,Klaksvik,FO,62.2266,-6.589,52.72,87,100,29.75,overcast clouds
32,Srednekolymsk,RU,67.45,153.6833,41.72,60,98,1.05,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,50.88,93,16,5.08,few clouds
34,Kavieng,PG,-2.5744,150.7967,84.88,67,100,10.42,overcast clouds
35,Mahebourg,MU,-20.4081,57.7,72.25,78,30,15.84,scattered clouds
36,Mataura,NZ,-46.1927,168.8643,50.49,57,93,9.24,overcast clouds
37,Tuatapere,NZ,-46.1333,167.6833,50.83,68,99,8.39,moderate rain
38,Cidreira,BR,-30.1811,-50.2056,61.23,94,100,11.95,overcast clouds
39,Sao Filipe,CV,14.8961,-24.4956,78.49,76,97,7.16,overcast clouds
40,Ishigaki,JP,24.3448,124.1572,84.36,73,3,13.69,clear sky
41,Hermanus,ZA,-34.4187,19.2345,55.9,88,21,8.16,few clouds
42,Arkhipo-Osipovka,RU,44.37,38.52,51.51,78,29,6.04,scattered clouds
43,Kysyl-Syr,RU,63.8986,122.7617,45.97,61,100,10.56,overcast clouds
44,Tasiilaq,GL,65.6145,-37.6368,35.76,63,92,5.28,overcast clouds
45,Codrington,AU,-38.2667,141.9667,54.86,69,54,25.84,broken clouds
46,Vostok,RU,46.4856,135.8833,55.65,49,0,6.8,clear sky
47,Bredy,RU,52.4153,60.3411,41.72,55,99,6.64,overcast clouds
48,Castro,BR,-24.7911,-50.0119,49.17,96,26,4.92,scattered clouds
49,Aswan,EG,24.0934,32.907,80.26,34,0,10.33,clear sky
50,Bubaque,GW,11.2833,-15.8333,80.67,78,100,4.34,moderate rain
51,Miramar,US,25.9873,-80.2323,81.05,96,90,0.0,overcast clouds
52,Marsa Matruh,EG,31.3525,27.2453,73.85,59,97,16.87,overcast clouds
53,Moba,CN,33.2288,105.0179,61.39,93,100,4.23,overcast clouds
54,Poum,NC,-20.2333,164.0167,71.2,67,79,8.03,broken clouds
55,La Plata,AR,-34.9215,-57.9545,58.98,90,5,5.08,clear sky
56,Vestmannaeyjar,IS,63.4427,-20.2734,42.93,83,98,22.12,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,57.88,92,75,1.01,broken clouds
58,Busselton,AU,-33.65,115.3333,60.04,50,0,11.16,clear sky
59,Kapaa,US,22.0752,-159.319,84.18,73,75,1.99,broken clouds
60,Muhlhausen,DE,51.2167,10.45,59.07,87,71,13.0,broken clouds
61,Oktyabrskiy,RU,54.4815,53.471,50.41,66,100,16.06,overcast clouds
62,Butaritari,KI,3.0707,172.7902,82.36,77,10,15.32,light rain
63,Ilulissat,GL,69.2167,-51.1,24.82,74,75,9.22,broken clouds
64,Vao,NC,-22.6667,167.4833,68.16,62,78,14.7,broken clouds
65,Hobart,AU,-42.8794,147.3294,48.25,85,90,5.01,overcast clouds
66,Qaanaaq,GL,77.484,-69.3632,16.29,63,100,5.57,overcast clouds
67,Clinton,US,42.587,-82.9199,53.62,91,90,1.01,overcast clouds
68,Cherskiy,RU,68.75,161.3,33.62,64,88,7.49,overcast clouds
69,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.57,85,64,9.53,broken clouds
70,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,65.64,93,100,2.84,overcast clouds
71,Leningradskiy,RU,69.3833,178.4167,28.38,91,100,13.09,overcast clouds
72,Ribeira Grande,PT,38.5167,-28.7,70.18,64,74,9.8,broken clouds
73,Kodiak,US,57.79,-152.4072,45.91,66,90,14.97,light rain
74,San Quintin,MX,30.4833,-115.95,70.34,78,8,9.82,clear sky
75,Dingle,PH,10.9995,122.6711,86.9,71,84,7.72,broken clouds
76,Buala,SB,-8.145,159.5921,84.72,67,100,6.06,light rain
77,Tura,IN,25.5198,90.2201,83.26,70,10,0.85,clear sky
78,Gazanjyk,TM,39.2446,55.5154,71.6,32,0,2.33,clear sky
79,Katobu,ID,-4.9408,122.5276,85.96,59,85,5.46,overcast clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,50.76,90,48,5.23,scattered clouds
81,Vaini,TO,-21.2,-175.2,75.34,80,95,10.78,light rain
82,Pakxan,LA,18.3778,103.6601,74.16,95,100,3.83,light rain
83,Assiniboia,CA,49.6334,-105.9845,55.76,29,100,12.24,overcast clouds
84,Hilo,US,19.7297,-155.09,78.24,80,27,1.99,scattered clouds
85,Bone,DE,51.9669,12.1396,57.87,71,91,14.29,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,79.48,84,100,17.92,moderate rain
87,Iqaluit,CA,63.7506,-68.5145,32.43,79,94,12.21,overcast clouds
88,Sicamous,CA,50.8331,-118.9856,63.12,68,29,3.87,scattered clouds
89,Havoysund,NO,70.9963,24.6622,45.48,76,67,21.85,light rain
90,Zahesi,GE,41.8246,44.7536,56.91,89,100,7.36,overcast clouds
91,Bethel,US,41.3712,-73.414,75.56,90,90,1.99,moderate rain
92,Alofi,NU,-19.0595,-169.9187,80.49,57,20,8.05,few clouds
93,Ahuimanu,US,21.4447,-157.8378,83.91,78,90,8.05,moderate rain
94,Lompoc,US,34.6391,-120.4579,64.22,88,90,5.75,overcast clouds
95,East London,ZA,-33.0153,27.9116,62.73,62,78,14.36,broken clouds
96,Hokitika,NZ,-42.7167,170.9667,55.15,55,2,8.43,clear sky
97,Sangar,RU,63.9242,127.4739,42.49,95,100,3.09,light rain
98,Roma,US,43.2128,-75.4557,64.38,94,100,4.88,overcast clouds
99,Thompson,CA,55.7435,-97.8558,48.36,93,90,12.66,overcast clouds
100,Pingliang,CN,35.5392,106.6861,60.48,98,100,4.12,moderate rain
101,Nikolskoye,RU,59.7035,30.7861,46.02,83,94,12.41,light rain
102,Asfi,MA,32.2994,-9.2372,67.89,77,99,3.89,overcast clouds
103,Hastings,GB,50.8552,0.5729,58.96,99,55,9.33,broken clouds
104,Tabuk,PH,17.4189,121.4443,86.32,64,20,3.4,few clouds
105,Celestun,MX,20.8667,-90.4,79.45,80,100,5.53,overcast clouds
106,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,16.11,light rain
107,Port Shepstone,ZA,-30.7414,30.455,66.47,63,16,10.58,few clouds
108,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.32,81,100,8.84,overcast clouds
109,Vila Velha,BR,-20.3297,-40.2925,64.35,82,75,2.3,broken clouds
110,Naryan-Mar,RU,67.6713,53.087,36.61,90,84,8.01,broken clouds
111,Adrar,MR,20.5022,-10.0711,88.25,15,44,8.95,scattered clouds
112,Makokou,GA,0.5738,12.8642,68.27,99,59,1.21,broken clouds
113,Marsabit,KE,2.3284,37.9899,59.86,79,91,17.76,overcast clouds
114,Rivne,UA,50.6231,26.2274,51.84,88,100,25.14,overcast clouds
115,Mayumba,GA,-3.432,10.6554,75.43,86,91,4.38,overcast clouds
116,Jamestown,US,42.097,-79.2353,54.07,83,90,7.0,overcast clouds
117,Belaya Gora,RU,68.5333,146.4167,44.11,52,89,13.44,overcast clouds
118,Pacifica,US,37.6138,-122.4869,81.68,89,1,13.8,clear sky
119,Yershov,RU,51.3513,48.2766,52.34,82,100,5.3,light rain
120,Ust-Ishim,RU,57.6935,71.1665,41.77,84,93,7.67,overcast clouds
121,Inhambane,MZ,-23.865,35.3833,65.61,77,0,3.76,clear sky
122,Huilong,CN,31.8111,121.655,84.97,71,53,14.61,light rain
123,Ahipara,NZ,-35.1667,173.1667,61.02,69,67,15.01,broken clouds
124,Redcliffe,AU,-27.2307,153.0973,86.47,64,0,19.57,clear sky
125,Nome,US,64.5011,-165.4064,38.16,53,1,8.05,clear sky
126,Kilindoni,TZ,-7.9139,39.6668,76.93,76,70,11.59,light rain
127,Sinnamary,GF,5.3833,-52.95,79.83,85,41,11.1,scattered clouds
128,Waipawa,NZ,-41.4122,175.5153,63.23,71,3,7.76,clear sky
129,Ostersund,SE,63.1792,14.6357,39.65,87,89,13.8,overcast clouds
130,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,51,40,11.18,scattered clouds
131,Lucapa,AO,-8.4192,20.7447,62.46,93,100,2.86,overcast clouds
132,New Norfolk,AU,-42.7826,147.0587,47.91,74,70,5.01,light rain
133,Sobradinho,BR,-12.8333,-39.1,66.97,93,66,5.7,broken clouds
134,Beringovskiy,RU,63.05,179.3167,36.14,78,100,24.02,overcast clouds
135,Candido Mendes,BR,-1.4467,-45.7167,77.95,80,36,6.35,scattered clouds
136,Norman Wells,CA,65.282,-126.8329,34.14,89,96,10.6,overcast clouds
137,Nicoya,CR,10.1483,-85.452,71.15,90,100,0.67,heavy intensity rain
138,Goure,NE,13.9835,10.2704,79.02,55,100,5.84,overcast clouds
139,Kerman,IR,30.2832,57.0788,74.08,25,2,3.0,clear sky
140,Hobyo,SO,5.3505,48.5268,77.54,83,10,17.34,clear sky
141,Itoman,JP,26.1247,127.6694,87.82,62,40,16.11,scattered clouds
142,Arraial Do Cabo,BR,-22.9661,-42.0278,67.53,66,9,16.69,clear sky
143,Charters Towers,AU,-20.1,146.2667,81.55,28,2,11.14,clear sky
144,Fortuna,US,40.5982,-124.1573,72.19,83,1,6.91,clear sky
145,Kashi,CN,39.4547,75.9797,73.17,21,0,2.33,light rain
146,Baker City,US,44.7749,-117.8344,62.6,52,1,8.05,clear sky
147,Anchorage,US,61.2181,-149.9003,42.85,86,90,5.99,moderate rain
148,Jiayuguan,CN,39.8167,98.3,70.75,22,18,3.89,few clouds
149,Oriximina,BR,-1.7656,-55.8661,79.34,65,100,3.56,overcast clouds
150,Nago,JP,26.5881,127.9761,87.87,54,0,14.67,clear sky
151,Talnakh,RU,69.4865,88.3972,35.46,70,5,5.86,clear sky
152,Kaitangata,NZ,-46.2817,169.8464,57.34,49,31,10.18,scattered clouds
153,Shingu,JP,33.7333,135.9833,79.92,65,17,6.62,few clouds
154,Ponta Do Sol,PT,32.6667,-17.1,70.43,53,28,2.91,scattered clouds
155,Nhulunbuy,AU,-12.2333,136.7667,86.61,51,75,13.8,broken clouds
156,Eureka,US,40.8021,-124.1637,68.67,82,75,1.01,broken clouds
157,Kailua,US,21.4022,-157.7394,84.18,77,90,8.05,moderate rain
158,Kununurra,AU,-15.7667,128.7333,89.58,6,20,12.66,few clouds
159,Plettenberg Bay,ZA,-34.0527,23.3716,56.61,85,15,5.99,few clouds
160,Jevnaker,NO,60.2414,10.385,47.17,85,100,1.54,overcast clouds
161,Toyooka,JP,35.5333,134.8333,75.94,68,78,7.34,broken clouds
162,Sydney,AU,-33.8679,151.2073,82.35,34,0,1.99,clear sky
163,Port Hardy,CA,50.6996,-127.4199,52.59,77,42,3.71,scattered clouds
164,Bloomfield,US,40.8068,-74.1854,68.25,90,90,4.0,overcast clouds
165,Haines Junction,CA,60.7522,-137.5108,38.37,99,100,4.38,light rain
166,Batagay-Alyta,RU,67.8006,130.4114,39.29,64,93,2.44,overcast clouds
167,Hamilton,US,39.1834,-84.5333,55.78,82,1,0.0,clear sky
168,Iquitos,PE,-3.7481,-73.2472,72.81,98,99,3.69,overcast clouds
169,Ambanja,MG,-13.6833,48.45,68.63,82,7,3.69,clear sky
170,Kruisfontein,ZA,-34.0033,24.7314,49.89,85,99,6.31,overcast clouds
171,Bonavista,CA,48.6499,-53.1147,53.11,87,93,16.42,overcast clouds
172,Asau,RO,46.4333,26.4,49.12,81,99,8.41,overcast clouds
173,Grindavik,IS,63.8424,-22.4338,41.47,87,75,8.05,broken clouds
174,Kosh-Agach,RU,50.0,88.6667,35.8,38,96,1.34,overcast clouds
175,Oussouye,SN,12.485,-16.5469,78.69,89,100,3.91,light rain
176,Souillac,MU,-20.5167,57.5167,72.36,78,49,14.81,scattered clouds
177,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,54.88,96,100,19.6,overcast clouds
178,Hit,IQ,33.6416,42.8251,77.36,41,0,13.69,clear sky
179,Centralia,US,46.7162,-122.9543,62.65,84,1,0.0,clear sky
180,Nara,JP,34.6851,135.8049,76.28,51,66,5.08,broken clouds
181,Tiksi,RU,71.6872,128.8694,38.98,70,45,23.47,scattered clouds
182,Flin Flon,CA,54.7682,-101.865,43.21,88,100,13.58,overcast clouds
183,Berdigestyakh,RU,62.0989,126.6992,45.48,89,100,4.9,overcast clouds
184,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.88,99,100,1.48,light rain
185,Olafsvik,IS,64.8945,-23.7142,42.1,86,100,13.47,overcast clouds
186,Ruston,US,32.5232,-92.6379,60.49,94,1,0.0,clear sky
187,Mimongo,GA,-1.6195,11.6068,70.11,98,99,1.57,overcast clouds
188,Belyy Yar,RU,53.6039,91.3903,40.89,65,0,2.24,clear sky
189,Tabriz,IR,38.08,46.2919,69.26,28,0,6.91,clear sky
190,Natal,BR,-5.795,-35.2094,75.85,94,0,4.61,clear sky
191,Manokwari,ID,-0.8667,134.0833,83.26,71,100,9.35,overcast clouds
192,Zyryanka,RU,65.75,150.85,47.59,49,100,7.25,overcast clouds
193,Uturoa,PF,-16.7333,-151.4333,77.16,73,14,13.0,few clouds
194,Kedougou,SN,12.5579,-12.1743,74.28,97,100,3.4,light rain
195,Mattru,SL,7.6244,-11.8332,73.38,98,100,2.73,overcast clouds
196,Suoyarvi,RU,62.0833,32.35,45.14,96,100,9.04,overcast clouds
197,Hlotse,LS,-28.8718,28.045,53.01,45,10,2.77,clear sky
198,Alice Springs,AU,-23.7,133.8833,80.15,9,0,5.75,clear sky
199,Tomatlan,MX,19.9333,-105.25,77.31,92,8,3.24,clear sky
